2024-08-13 22:20:22.031 [restartedMain] [logStarting] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- Starting SysLog1Application on SK-20231010BXRV with PID 524 (D:\works\sys-log1-807\sys-log1\target\classes started by Administrator in D:\works\sys-log1-807\sys-log1)
2024-08-13 22:20:22.033 [restartedMain] [logStartupProfileInfo] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- The following profiles are active: tst
2024-08-13 22:20:22.057 [restartedMain] [logTo] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - tid:- uid:- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-08-13 22:20:22.057 [restartedMain] [logTo] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - tid:- uid:- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-08-13 22:20:22.678 [restartedMain] [initialize] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - tid:- uid:- Tomcat initialized with port(s): 8331 (http)
2024-08-13 22:20:22.684 [restartedMain] [log] INFO  org.apache.coyote.http11.Http11NioProtocol - tid:- uid:- Initializing ProtocolHandler ["http-nio-8331"]
2024-08-13 22:20:22.685 [restartedMain] [log] INFO  org.apache.catalina.core.StandardService - tid:- uid:- Starting service [Tomcat]
2024-08-13 22:20:22.685 [restartedMain] [log] INFO  org.apache.catalina.core.StandardEngine - tid:- uid:- Starting Servlet engine: [Apache Tomcat/9.0.33]
2024-08-13 22:20:22.804 [restartedMain] [log] INFO  org.apache.jasper.servlet.TldScanner - tid:- uid:- At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2024-08-13 22:20:22.806 [restartedMain] [log] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/log] - tid:- uid:- Initializing Spring embedded WebApplicationContext
2024-08-13 22:20:22.806 [restartedMain] [prepareWebApplicationContext] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - tid:- uid:- Root WebApplicationContext: initialization completed in 748 ms
2024-08-13 22:20:23.028 [restartedMain] [initialize] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - tid:- uid:- Initializing ExecutorService 'taskExecutor'
2024-08-13 22:20:23.121 [restartedMain] [<init>] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - tid:- uid:- Adding welcome page template: index
2024-08-13 22:20:23.196 [restartedMain] [startServer] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - tid:- uid:- LiveReload server is running on port 35729
2024-08-13 22:20:23.204 [restartedMain] [log] INFO  org.apache.coyote.http11.Http11NioProtocol - tid:- uid:- Starting ProtocolHandler ["http-nio-8331"]
2024-08-13 22:20:23.215 [restartedMain] [start] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - tid:- uid:- Tomcat started on port(s): 8331 (http) with context path '/log'
2024-08-13 22:20:23.220 [restartedMain] [logStarted] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- Started SysLog1Application in 1.418 seconds (JVM running for 1.769)
2024-08-13 22:20:26.598 [http-nio-8331-exec-1] [log] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/log] - tid:- uid:- Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-13 22:20:26.598 [http-nio-8331-exec-1] [initServletBean] INFO  org.springframework.web.servlet.DispatcherServlet - tid:- uid:- Initializing Servlet 'dispatcherServlet'
2024-08-13 22:20:26.601 [http-nio-8331-exec-1] [initServletBean] INFO  org.springframework.web.servlet.DispatcherServlet - tid:- uid:- Completed initialization in 3 ms
2024-08-13 22:27:16.347 [Thread-7] [shutdown] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - tid:- uid:- Shutting down ExecutorService 'taskExecutor'
2024-08-13 22:27:41.309 [restartedMain] [logStarting] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- Starting SysLog1Application on SK-20231010BXRV with PID 15688 (D:\works\sys-log1-807\sys-log1\target\classes started by Administrator in D:\works\sys-log1-807\sys-log1)
2024-08-13 22:27:41.311 [restartedMain] [logStartupProfileInfo] INFO  com.example.wangjian.syslog1.SysLog1Application - tid:- uid:- The following profiles are active: tst
2024-08-13 22:27:41.335 [restartedMain] [logTo] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - tid:- uid:- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-08-13 22:27:41.335 [restartedMain] [logTo] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - tid:- uid:- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-08-13 22:27:41.956 [restartedMain] [initialize] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - tid:- uid:- Tomcat initialized with port(s): 8331 (http)
2024-08-13 22:27:41.961 [restartedMain] [log] INFO  org.apache.coyote.http11.Http11NioProtocol - tid:- uid:- Initializing ProtocolHandler ["http-nio-8331"]
2024-08-13 22:27:41.961 [restartedMain] [log] INFO  org.apache.catalina.core.StandardService - tid:- uid:- Starting service [Tomcat]
2024-08-13 22:27:41.961 [restartedMain] [log] INFO  org.apache.catalina.core.StandardEngine - tid:- uid:- Starting Servlet engine: [Apache Tomcat/9.0.33]
2024-08-13 22:27:42.081 [restartedMain] [log] INFO  org.apache.jasper.servlet.TldScanner - tid:- uid:- At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
